Date,prcp(mm/day),srad(W/m2),tmax(C),tmin(C),vp(Pa),flow(mm/day)
1980-01-01,17.6,51.79,9.21,4.96,872.64,11.409407798036465
1980-01-02,7.02,48.65,9.02,5.1,888.32,11.014796701262272
1980-01-03,10.0,114.52,9.09,-2.03,529.2,10.39714454978962
1980-01-04,4.68,84.69,6.98,-0.08,607.98,9.625079360448808
1980-01-05,13.3,77.05,4.17,-2.04,527.71,9.007427208976157
1980-01-06,0.0,169.88,6.19,-6.49,376.95,7.840750922861149
1980-01-07,0.0,147.47,3.17,-6.41,379.32,7.102999741935483
1980-01-08,14.48,66.46,0.51,-4.44,442.66,7.960849952314165
1980-01-09,24.26,33.32,2.23,-0.06,605.51,9.933905436185132
1980-01-10,7.01,67.37,2.66,-2.31,515.66,8.92164218793829
1980-01-11,5.51,111.93,5.27,-3.89,462.01,9.848120415147266
1980-01-12,44.38,112.45,8.78,-0.6,584.51,57.475964095371666
1980-01-13,13.43,131.67,9.78,-2.29,521.03,31.568887741935484
1980-01-14,11.29,47.93,4.32,1.09,656.92,19.55898479663394
1980-01-15,14.72,103.0,7.7,-0.2,604.22,15.784443870967742
1980-01-16,38.74,58.16,6.21,2.12,712.06,23.161955680224402
1980-01-17,16.45,81.93,7.01,1.12,649.99,20.416835007012622
1980-01-18,0.0,191.14,5.55,-6.75,372.02,15.698658849929872
1980-01-19,0.0,190.75,4.71,-7.23,356.56,12.267258008415148
1980-01-20,0.0,190.15,7.28,-4.64,435.03,10.088318474053295
1980-01-21,0.0,165.83,5.29,-3.8,464.44,8.4584030743338
1980-01-22,0.0,214.11,11.56,-4.03,458.53,7.360354805049088
1980-01-23,0.0,219.44,12.22,-4.29,449.06,6.502504594670406
1980-01-24,0.0,213.32,11.19,-3.17,489.42,5.76475341374474
1980-01-25,0.0,119.03,6.63,0.83,638.04,5.1642582664796635
1980-01-26,0.0,198.76,6.24,-4.99,422.46,4.58092012342216
1980-01-27,0.0,223.65,0.82,-13.02,226.05,4.100524005610098
1980-01-28,0.0,233.49,0.17,-15.04,190.53,3.688755904628331
