basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse_all
15/09386900,0.26210424304008484,0.4289277195930481,0.5521129965782166,0.6401938199996948,0.7635021805763245,0.8440114259719849,0.8676493167877197,0.6226431131362915
15/09404450,0.1665344387292862,0.22176462411880493,0.29240214824676514,0.3272809088230133,0.3430090546607971,0.35512369871139526,0.37172117829322815,0.29683443903923035
15/09430500,0.37154147028923035,0.500034749507904,0.5089703798294067,0.4947398900985718,0.4958362281322479,0.5472565293312073,0.5955530405044556,0.5019904971122742
15/09430600,0.7792686820030212,0.8293326497077942,0.8335789442062378,0.8382535576820374,0.8260611891746521,0.8425137996673584,0.8607946038246155,0.8299719095230103
15/09447800,0.7922804951667786,1.006020188331604,1.0905698537826538,1.2872556447982788,1.3970155715942383,1.363193154335022,1.130726933479309,1.1524381637573242
15/09480000,0.8963836431503296,0.9255198240280151,0.9214468002319336,0.933829128742218,0.9416309595108032,0.9503416419029236,0.9537791013717651,0.9318472743034363
15/09484000,0.5968065857887268,0.7527859210968018,0.7837074398994446,0.7979236841201782,0.815460741519928,0.8424323201179504,0.8630396723747253,0.7788788080215454
15/09484600,0.9077557921409607,0.9146666526794434,0.9223771095275879,0.917011022567749,0.9325240850448608,0.9497295618057251,0.9470916986465454,0.9273080229759216
15/09492400,0.04222126305103302,0.06844329088926315,0.09058129042387009,0.1158437728881836,0.11932593584060669,0.1261380910873413,0.13064201176166534,0.09902700036764145
15/09494000,0.19437545537948608,0.23837700486183167,0.2492079734802246,0.2798726558685303,0.3196982443332672,0.30515098571777344,0.2848657965660095,0.2673642933368683
15/09497800,0.4213581085205078,0.39696499705314636,0.3988189697265625,0.4009145200252533,0.4026361107826233,0.3872753381729126,0.33006584644317627,0.3911474645137787
15/09497980,0.3980628550052643,0.47065553069114685,0.4619331359863281,0.4726397693157196,0.4734257161617279,0.49680718779563904,0.4889281690120697,0.4660646617412567
