basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse_all
01/01013500,0.0060981074348092,0.0135677745565772,0.0214723460376262,0.0306842606514692,0.0406512506306171,0.050683531910181,0.0618282258510589,0.0321443565189838
01/01022500,0.0394160486757755,0.0857368111610412,0.1026324331760406,0.1083953976631164,0.112980417907238,0.1223815232515335,0.132810965180397,0.1006243228912353
01/01030500,0.0063957502134144,0.0208313670009374,0.0393120534718036,0.0606092140078544,0.0745864287018776,0.0851483270525932,0.090754359960556,0.0539534948766231
01/01031500,0.0682486146688461,0.1092070415616035,0.1140729933977127,0.1170881986618042,0.1179411634802818,0.1244697421789169,0.1458413153886795,0.1138395890593528
01/01047000,0.0900998562574386,0.1280466765165329,0.1329621821641922,0.1385699063539505,0.142998993396759,0.1509725004434585,0.1849197447299957,0.1383704096078872
01/01052500,0.1011175587773323,0.1557518392801284,0.1761650592088699,0.1847435534000396,0.196403220295906,0.2028123587369918,0.2170773297548294,0.1762986481189727
01/01054200,0.2976085543632507,0.3185503482818603,0.3429795503616333,0.3295575082302093,0.3188651800155639,0.3254415094852447,0.4186203479766845,0.3359459340572357
01/01055000,0.2008087784051895,0.2247772961854934,0.2330333441495895,0.2417304217815399,0.2461907416582107,0.2518926858901977,0.3034841418266296,0.2431320250034332
01/01057000,0.0788012593984603,0.1056034192442894,0.1199125200510025,0.1307986825704574,0.1345485299825668,0.1428207904100418,0.1636877655982971,0.1251703798770904
01/01073000,0.1586733907461166,0.1828696578741073,0.1903657615184784,0.1941406428813934,0.2023162543773651,0.2055937051773071,0.2067861855030059,0.191536396741867
01/01078000,0.0655238330364227,0.1063211783766746,0.1307368129491806,0.1410973817110061,0.1466250121593475,0.1535202115774154,0.170893520116806,0.1306156665086746
01/01118300,0.1848637610673904,0.1988069415092468,0.2110598683357238,0.2238374054431915,0.2230233699083328,0.2387379258871078,0.2537476718425751,0.2191591709852218
01/01121000,0.1831127554178238,0.1952187716960907,0.2053915858268737,0.2018889188766479,0.2136783599853515,0.2155518531799316,0.2334507405757904,0.2069015204906463
01/01123000,0.159445121884346,0.1833429932594299,0.1949119865894317,0.1984773278236389,0.2037001252174377,0.215519517660141,0.2097390741109848,0.1950204372406005
01/01134500,0.1060084849596023,0.1605748683214187,0.1780290305614471,0.1897412091493606,0.2037912458181381,0.2230936586856842,0.2384874820709228,0.1856720149517059
01/01137500,0.1704803109169006,0.2169699817895889,0.2215183973312378,0.2258410900831222,0.2299316078424453,0.2383606880903244,0.2754066586494446,0.2255084663629531
01/01139000,0.0666782930493354,0.1016452386975288,0.1131942197680473,0.11908870190382,0.1312971115112304,0.1378496885299682,0.1589387506246566,0.118384726345539
01/01139800,0.1238134875893592,0.1401596516370773,0.1535630226135254,0.1598448008298874,0.1695688962936401,0.1726954728364944,0.2516502141952514,0.167331725358963
01/01142500,0.1047308444976806,0.1206921115517616,0.1410405337810516,0.1658847779035568,0.1745372116565704,0.1834743022918701,0.230672001838684,0.1601509600877761
01/01144000,0.0880536660552024,0.1134018823504448,0.1322716921567917,0.1504087895154953,0.1557022184133529,0.1615792959928512,0.1867108196020126,0.141164630651474
01/01162500,0.054072331637144,0.1186684444546699,0.1510354280471801,0.1714431345462799,0.186070367693901,0.2059223800897598,0.2296516895294189,0.159546211361885
01/01169000,0.2431598901748657,0.2512769997119903,0.257731944322586,0.2540634870529175,0.2689105570316314,0.2720243632793426,0.3623241782188415,0.2727842032909393
01/01170100,0.1976857483386993,0.2250891029834747,0.2422217577695846,0.2461512833833694,0.2548120319843292,0.26264488697052,0.342937022447586,0.2530767619609833
