Date,prcp(mm/day),srad(W/m2),tmax(C),tmin(C),vp(Pa),flow(mm/day)
1980-01-01,0.0,312.11,13.7,-5.66,371.14,0.014569352956640583
1980-01-02,0.0,281.34,13.75,-1.12,534.35,0.014924703028753768
1980-01-03,0.09,227.98,7.63,-2.68,502.31,0.0142140028845274
1980-01-04,0.0,210.77,5.84,-3.91,460.94,0.014569352956640583
1980-01-05,0.0,222.33,5.38,-5.05,419.08,0.01563540317298014
1980-01-06,0.0,275.93,10.58,-3.29,464.05,0.01705680346143288
1980-01-07,0.0,322.02,10.5,-9.64,274.62,0.015990753245093324
1980-01-08,0.0,279.59,3.92,-9.55,291.36,0.01563540317298014
1980-01-09,0.0,295.75,5.99,-8.99,303.53,0.0142140028845274
1980-01-10,0.0,297.37,11.72,-3.7,436.33,0.01279260259607466
1980-01-11,0.0,315.23,17.75,-0.46,510.38,0.0142140028845274
1980-01-12,0.0,225.4,8.99,-0.74,579.3,0.014924703028753768
1980-01-13,0.0,310.34,17.34,-0.02,529.94,0.014569352956640583
1980-01-14,0.0,325.71,22.09,1.96,572.21,0.017412153533546065
1980-01-15,0.0,275.57,18.44,5.15,789.27,0.016701453389319693
1980-01-16,0.01,286.07,13.97,0.48,522.18,0.015990753245093324
1980-01-17,0.0,309.9,13.47,-2.02,421.22,0.015990753245093324
1980-01-18,0.0,288.21,13.64,0.28,514.34,0.016701453389319693
1980-01-19,6.79,220.46,11.88,0.58,585.74,0.020610304182564727
1980-01-20,10.77,128.77,4.1,-2.51,509.67,0.02274240461524384
1980-01-21,6.65,70.73,1.1,-2.21,521.87,0.02487450504792295
1980-01-22,0.0,159.72,3.57,-2.4,514.16,0.035890357283431686
1980-01-23,0.0,299.14,8.7,-4.68,423.47,0.03837780778822397
1980-01-24,0.0,336.4,14.85,-2.38,467.69,0.03269220663441302
1980-01-25,0.0,323.86,14.97,-0.61,537.61,0.03162615641807346
1980-01-26,0.09,342.86,8.33,-8.16,316.48,0.025229855120036133
1980-01-27,0.01,192.66,-4.9,-11.73,253.18,0.023808454831583396
1980-01-28,0.0,152.28,-4.91,-10.15,282.92,0.02274240461524384
1980-01-29,0.18,139.1,-6.15,-10.79,267.5,0.022031704471017467
1980-01-30,0.01,182.69,-2.76,-9.01,302.95,0.02274240461524384
1980-01-31,0.0,301.87,-1.56,-12.83,232.43,0.020610304182564727
1980-02-01,0.0,333.55,2.09,-11.12,261.89,0.022031704471017467
1980-02-02,0.0,377.03,9.84,-8.2,298.44,0.023808454831583396
1980-02-03,0.0,379.99,14.59,-4.45,374.19,0.0284280057690548
1980-02-04,0.0,351.15,14.46,-1.72,473.88,0.03091545627384709
1980-02-05,0.0,318.47,11.26,-1.94,495.94,0.03198150649018665
1980-02-06,0.0,364.14,12.63,-4.0,399.72,0.03411360692286576
1980-02-07,0.0,320.34,11.1,-1.67,506.55,0.02949405598539435
1980-02-08,11.7,246.76,1.88,-8.87,312.87,0.030204756129620723
1980-02-09,0.5,272.2,-2.2,-10.57,272.06,0.0284280057690548
1980-02-10,0.0,394.48,3.86,-9.71,281.37,0.0284280057690548
1980-02-11,0.0,393.31,6.52,-7.01,349.62,0.026651255408488873
1980-02-12,0.0,356.3,3.9,-7.26,348.66,0.03837780778822397
1980-02-13,0.0,406.49,10.08,-3.81,415.54,0.04584015930260086
1980-02-14,0.0,426.63,15.67,0.15,506.09,0.03802245771611079
1980-02-15,0.0,426.76,11.68,-3.41,408.95,0.03375825685075257
1980-02-16,0.38,294.89,-1.88,-10.07,285.55,0.033047556706526204
1980-02-17,0.0,359.93,-0.33,-10.56,267.61,0.02949405598539435
1980-02-18,0.0,398.87,5.57,-6.76,327.77,0.022031704471017467
1980-02-19,0.0,464.91,18.37,0.28,430.18,0.02700660548060206
1980-02-20,0.0,420.98,21.16,4.75,602.56,0.026651255408488873
1980-02-21,0.0,384.49,20.7,5.65,676.66,0.03162615641807346
1980-02-22,0.0,420.06,20.82,2.14,504.36,0.02700660548060206
1980-02-23,0.0,412.14,18.85,1.77,501.68,0.023097754687357024
1980-02-24,0.0,331.99,12.14,0.82,567.94,0.0213210043267911
1980-02-25,0.0,377.02,10.95,-2.3,419.99,0.019544253966225174
1980-02-26,0.0,446.47,15.52,-4.16,301.87,0.018833553821998802
1980-02-27,0.0,460.68,21.47,-1.5,326.26,0.019544253966225174
1980-02-28,0.0,459.16,25.28,1.91,397.36,0.019544253966225174
1980-02-29,0.0,478.54,24.24,-3.84,254.67,0.01847820374988562
1980-03-01,0.0,342.38,-2.18,-14.45,199.98,0.01776750360565925
1980-03-02,0.0,425.76,1.63,-15.93,154.16,0.01776750360565925
1980-03-03,0.0,432.78,11.48,-6.88,266.9,0.016701453389319693
1980-03-04,0.0,386.89,16.44,1.58,486.93,0.018833553821998802
1980-03-05,0.0,457.73,12.09,-8.05,230.06,0.020610304182564727
1980-03-06,0.0,453.44,15.05,-4.84,278.68,0.019544253966225174
1980-03-07,0.0,488.82,21.7,-3.37,261.15,0.019544253966225174
1980-03-08,0.0,481.3,19.34,-3.99,254.85,0.020610304182564727
1980-03-09,0.0,463.11,18.58,-1.97,209.31,0.018833553821998802
1980-03-10,0.0,468.18,20.3,-1.04,211.44,0.01776750360565925
1980-03-11,0.56,416.98,19.38,1.48,277.19,0.019544253966225174
1980-03-12,7.01,275.46,16.32,3.23,462.95,0.023097754687357024
1980-03-13,0.4,438.84,17.41,-1.34,251.65,0.023097754687357024
1980-03-14,0.0,434.27,18.58,0.67,289.07,0.023808454831583396
1980-03-15,0.0,440.6,22.62,4.24,344.27,0.024519154975809764
1980-03-16,0.0,429.77,24.05,6.36,397.92,0.024519154975809764
1980-03-17,0.0,461.03,17.82,-1.89,226.79,0.0213210043267911
1980-03-18,0.0,408.22,14.6,-1.44,276.89,0.019544253966225174
1980-03-19,0.0,451.76,19.52,0.52,264.92,0.01776750360565925
1980-03-20,0.0,422.78,21.08,4.08,355.23,0.017412153533546065
1980-03-21,0.0,438.91,17.89,0.1,274.62,0.015280053100866954
1980-03-22,0.0,411.19,19.29,3.29,353.02,0.015280053100866954
1980-03-23,4.29,274.75,15.41,2.55,501.32,0.020610304182564727
1980-03-24,5.15,262.15,9.39,-1.51,448.58,0.025229855120036133
1980-03-25,0.0,376.23,12.64,-1.0,370.12,0.023808454831583396
1980-03-26,0.0,401.47,17.91,2.9,426.15,0.023097754687357024
1980-03-27,9.36,276.27,19.95,6.96,732.44,0.023097754687357024
1980-03-28,26.26,254.64,13.83,2.09,627.16,0.02771730562482843
1980-03-29,1.95,337.31,12.44,-0.79,525.31,0.0824412167302589
1980-03-30,0.55,319.48,10.65,0.0,579.47,0.06751651370150515
1980-03-31,0.0,437.0,16.9,1.2,525.61,0.05543461124965686
1980-04-01,0.16,412.83,17.9,3.36,620.04,0.040154558148789904
1980-04-02,1.01,377.35,15.81,2.28,618.12,0.040154558148789904
1980-04-03,8.15,303.36,12.46,-0.7,556.64,0.0426420086535822
1980-04-04,0.0,451.4,14.1,-1.44,462.78,0.032336856562299836
1980-04-05,0.0,483.52,19.43,1.9,531.43,0.03482430706709213
1980-04-06,0.0,465.79,24.62,8.0,785.21,0.033047556706526204
1980-04-07,0.0,518.25,26.34,6.18,635.63,0.02771730562482843
1980-04-08,0.0,516.2,21.76,2.53,518.48,0.023808454831583396
1980-04-09,0.0,524.46,19.6,0.11,441.02,0.01847820374988562
1980-04-10,0.0,529.25,23.99,3.76,541.11,0.016701453389319693
1980-04-11,0.0,521.38,26.4,6.22,633.9,0.01563540317298014
1980-04-12,0.0,317.13,13.19,3.84,770.04,0.0142140028845274
1980-04-13,0.0,335.0,11.26,1.58,656.28,0.01279260259607466
1980-04-14,0.0,486.37,15.01,-0.83,449.22,0.01279260259607466
1980-04-15,0.0,556.94,22.94,1.24,435.16,0.012437252523961474
1980-04-16,0.0,538.31,26.45,6.21,607.13,0.01208190245184829
1980-04-17,0.0,505.59,21.61,4.3,583.82,0.011726552379735104
1980-04-18,0.0,512.8,21.61,3.92,562.85,0.01066050216339555
1980-04-19,0.0,553.62,26.41,5.26,521.58,0.01066050216339555
1980-04-20,0.0,559.36,30.46,8.45,543.49,0.01066050216339555
1980-04-21,0.0,545.82,30.68,10.0,562.42,0.009949802019169179
1980-04-22,0.0,521.13,28.91,10.17,608.84,0.00923910187494281
1980-04-23,0.81,457.13,28.86,12.42,806.75,0.008883751802829624
1980-04-24,24.66,334.46,26.82,11.81,1009.24,0.018833553821998802
1980-04-25,7.57,321.31,19.13,6.71,897.83,0.03091545627384709
1980-04-26,5.91,258.02,13.31,3.47,778.54,0.0284280057690548
1980-04-27,0.0,396.31,16.69,4.62,756.63,0.071070014422637
1980-04-28,0.0,490.61,22.2,5.61,690.43,0.04086525829301627
1980-04-29,0.0,496.25,25.67,8.3,796.67,0.033047556706526204
1980-04-30,3.58,361.26,25.04,10.73,1120.51,0.02949405598539435
1980-05-01,13.68,242.3,19.2,9.43,1188.22,0.02949405598539435
1980-05-02,2.71,277.78,18.99,9.76,1206.49,0.06218626261980737
1980-05-03,0.05,419.07,20.69,7.55,934.85,0.07000396420629744
1980-05-04,0.0,470.13,23.84,8.31,910.21,0.0497490100958459
1980-05-05,0.0,436.66,25.06,11.0,1120.35,0.0426420086535822
1980-05-06,3.64,426.93,26.57,11.55,1160.28,0.05863276189867552
1980-05-07,0.0,434.18,26.23,12.34,1226.05,0.046906209518940416
1980-05-08,3.21,383.21,21.68,8.26,1012.93,0.03731175757188442
1980-05-09,0.0,474.61,19.82,5.16,733.9,0.03091545627384709
1980-05-10,0.0,532.22,27.95,9.42,860.79,0.026651255408488873
1980-05-11,0.0,521.76,32.35,13.82,1126.53,0.022387054543130655
1980-05-12,0.0,499.61,30.04,12.97,1109.25,0.019544253966225174
1980-05-13,0.0,531.99,26.37,7.78,779.77,0.017412153533546065
1980-05-14,0.0,475.8,21.98,6.88,805.17,0.01563540317298014
1980-05-15,30.39,260.87,19.71,9.67,1208.49,0.1414293287010476
1980-05-16,32.22,232.47,16.96,8.48,1118.63,0.6112021240346781
1980-05-17,0.0,470.42,21.25,6.93,962.59,0.0994980201916918
1980-05-18,4.74,446.09,23.17,8.28,1050.15,0.0945231191821072
1980-05-19,0.0,481.84,22.62,7.93,1018.26,0.0824412167302589
1980-05-20,0.0,469.48,24.94,10.73,1216.15,0.09132496853308854
1980-05-21,4.8,369.44,24.68,11.22,1304.83,0.09132496853308854
1980-05-22,0.0,481.41,24.34,10.0,1160.32,0.06467371312459967
1980-05-23,0.0,484.74,26.68,11.91,1295.42,0.05650066146599641
1980-05-24,0.0,498.91,29.99,13.88,1449.93,0.05294716074486456
1980-05-25,0.0,531.61,32.75,14.05,1413.63,0.04193130850935583
1980-05-26,0.0,495.0,32.48,15.79,1625.98,0.032336856562299836
1980-05-27,5.96,360.84,30.15,15.74,1767.78,0.03091545627384709
1980-05-28,14.04,302.67,27.3,15.35,1742.14,0.026651255408488873
1980-05-29,9.8,303.15,28.44,16.4,1861.39,0.03731175757188442
1980-05-30,1.58,448.75,29.19,14.29,1583.65,0.15919683230670686
1980-05-31,0.0,399.43,29.01,16.97,1914.28,0.3105759630269237
1980-06-01,0.24,328.99,29.34,19.42,2234.25,0.08350726694659848
1980-06-02,0.0,410.98,30.74,17.89,2018.89,0.057211361610222784
1980-06-03,0.0,426.65,30.97,17.6,1967.94,0.05010436016795908
1980-06-04,0.0,402.01,32.09,19.56,2234.7,0.0426420086535822
1980-06-05,2.49,379.21,33.17,19.8,2293.36,0.033047556706526204
1980-06-06,0.0,453.28,35.27,19.97,2242.06,0.026651255408488873
1980-06-07,0.0,445.28,36.21,21.02,2398.15,0.023097754687357024
1980-06-08,1.85,431.16,30.75,15.76,1749.3,0.020254954110451542
1980-06-09,1.49,380.48,24.93,13.62,1554.78,0.01776750360565925
1980-06-10,0.0,431.71,27.43,14.89,1678.1,0.015280053100866954
1980-06-11,7.44,414.12,29.75,15.95,1796.72,0.01350330274030103
1980-06-12,0.0,444.82,30.41,17.05,1916.46,0.01279260259607466
1980-06-13,0.0,455.6,32.74,18.5,2079.4,0.01208190245184829
1980-06-14,0.0,484.82,35.63,19.15,2108.84,0.008883751802829624
1980-06-15,0.0,489.92,37.15,19.69,2163.74,0.007462351514376884
1980-06-16,0.0,458.18,35.77,20.23,2292.71,0.006040951225924145
1980-06-17,0.48,420.15,31.84,18.46,2103.61,0.00568560115381096
1980-06-18,0.0,439.34,33.22,19.18,2183.4,0.00568560115381096
1980-06-19,5.09,405.51,35.04,18.04,2045.83,0.005330251081697775
1980-06-20,1.54,449.56,32.94,17.07,1898.93,0.00426420086535822
1980-06-21,0.63,441.0,32.27,17.65,1994.07,0.00426420086535822
1980-06-22,0.01,455.0,33.2,18.37,2068.23,0.0035179657139205317
1980-06-23,0.0,483.8,36.05,19.12,2102.41,0.00284280057690548
1980-06-24,0.0,484.75,40.81,22.16,2505.97,0.0020254954110451545
1980-06-25,0.0,482.13,42.84,23.42,2697.05,0.0015990753245093325
1980-06-26,0.0,501.57,41.37,21.38,2324.21,0.001066050216339555
1980-06-27,0.0,503.21,41.49,21.42,2195.39,0.0006396301298037331
1980-06-28,0.0,468.03,42.45,23.93,2618.76,0.0003908850793245035
1980-06-29,0.0,466.19,40.22,22.57,2431.8,0.0002345310475947021
1980-06-30,0.0,465.7,40.13,22.4,2406.19,0.0001208190245184829
1980-07-01,0.0,445.23,40.73,23.64,2636.49,2.487450504792295e-05
1980-07-02,0.0,439.46,41.52,24.35,2756.11,0.0
1980-07-03,0.0,449.46,40.45,23.12,2517.66,0.0
1980-07-04,0.0,429.71,39.45,23.26,2581.75,0.0
1980-07-05,0.0,472.35,39.08,20.86,2151.3,0.0
1980-07-06,0.0,440.34,37.68,21.35,2289.51,0.0
1980-07-07,0.0,401.93,37.34,22.73,2574.12,0.0
1980-07-08,0.0,387.96,37.59,23.49,2723.03,0.0
1980-07-09,0.0,398.35,39.04,24.08,2788.78,0.0
1980-07-10,0.0,433.98,39.31,22.67,2489.23,0.0
1980-07-11,0.0,449.27,39.8,22.23,2384.96,0.0
1980-07-12,0.0,446.08,39.67,22.19,2388.86,0.0
1980-07-13,0.0,418.13,39.64,23.39,2633.38,0.0
1980-07-14,0.0,427.07,39.45,22.84,2527.8,0.0
1980-07-15,0.0,419.57,39.41,23.17,2595.41,0.0
1980-07-16,0.0,412.0,39.12,23.26,2631.93,0.0013147952668187844
1980-07-17,0.6,426.64,38.89,21.57,2343.66,0.0
1980-07-18,0.0,439.75,39.28,21.96,2380.65,0.0
1980-07-19,0.0,417.86,38.64,22.5,2509.91,0.0
1980-07-20,0.0,414.38,38.32,22.39,2503.1,0.0
1980-07-21,10.58,380.93,37.25,18.7,2074.09,0.0
1980-07-22,3.15,387.9,33.82,18.99,2145.76,0.0
1980-07-23,0.0,449.34,35.11,18.12,1949.05,0.0
1980-07-24,0.0,453.37,36.23,19.0,1944.48,0.0
1980-07-25,0.0,454.05,36.86,19.52,1974.91,0.0
1980-07-26,0.0,436.99,36.48,20.16,2059.28,0.0
1980-07-27,0.0,442.0,36.32,19.86,2011.98,0.0
1980-07-28,0.0,469.34,37.67,19.5,1902.26,0.0
1980-07-29,2.78,423.16,38.57,19.67,2010.9,0.0
1980-07-30,0.0,459.05,38.5,20.58,2046.05,0.0
1980-07-31,0.0,461.28,38.89,20.87,1985.59,0.0
1980-08-01,0.0,453.04,39.57,21.79,2093.64,0.0
1980-08-02,0.0,473.55,39.71,20.76,1919.19,0.0
1980-08-03,0.0,409.43,38.22,22.68,2338.74,0.0
