basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse_all
01/01013500,0.00853328499943018,0.01819896511733532,0.030771514400839806,0.04530777037143707,0.06183033064007759,0.08138756453990936,0.10379523783922195,0.049981024116277695
01/01022500,0.08957314491271973,0.15533241629600525,0.17560385167598724,0.18532595038414001,0.18973714113235474,0.20403315126895905,0.2283344268798828,0.17542344331741333
01/01030500,0.013440633192658424,0.04336570203304291,0.07845883816480637,0.10780458152294159,0.13580197095870972,0.15957067906856537,0.17866608500480652,0.10245397686958313
01/01031500,0.10125093162059784,0.14885643124580383,0.15599076449871063,0.17160898447036743,0.17991609871387482,0.2067047655582428,0.23283755779266357,0.17102593183517456
01/01047000,0.12178695201873779,0.17762406170368195,0.1893124282360077,0.19302131235599518,0.21102087199687958,0.23981520533561707,0.2759461998939514,0.20122367143630981
01/01052500,0.15078946948051453,0.24074742197990417,0.2777555584907532,0.3033508062362671,0.3263528347015381,0.3469265401363373,0.3653741180896759,0.28733310103416443
01/01054200,0.369662880897522,0.4413146674633026,0.4655778408050537,0.4745926558971405,0.4977509677410126,0.5053455829620361,0.5804247856140137,0.4763813018798828
01/01055000,0.23228687047958374,0.2919174134731293,0.3280077278614044,0.32902792096138,0.3477042019367218,0.36284738779067993,0.4077652394771576,0.3285108506679535
01/01057000,0.10088805854320526,0.15031926333904266,0.1739160418510437,0.1844613403081894,0.19351142644882202,0.19513359665870667,0.2066870629787445,0.17213542759418488
01/01073000,0.1853335201740265,0.212615504860878,0.22578400373458862,0.23355786502361298,0.23884858191013336,0.24842794239521027,0.2635250687599182,0.22972960770130157
01/01078000,0.09483528137207031,0.15215545892715454,0.18782776594161987,0.19774632155895233,0.20874381065368652,0.2119547575712204,0.22874456644058228,0.18307015299797058
01/01118300,0.21061979234218597,0.23307187855243683,0.25260424613952637,0.26309287548065186,0.2654203772544861,0.2835335433483124,0.29998070001602173,0.25833868980407715
01/01121000,0.24029675126075745,0.2779839336872101,0.2886096239089966,0.28815197944641113,0.3068866729736328,0.33557799458503723,0.3583914339542389,0.2994203567504883
01/01123000,0.1916734278202057,0.22152940928936005,0.21760308742523193,0.21916444599628448,0.23162132501602173,0.25855931639671326,0.2791244387626648,0.23132671415805817
01/01134500,0.13782717287540436,0.19843298196792603,0.2232230007648468,0.2367631494998932,0.26145973801612854,0.28509268164634705,0.31630730628967285,0.23701149225234985
01/01137500,0.2481919676065445,0.33586108684539795,0.36451613903045654,0.3798488974571228,0.40214574337005615,0.4365386664867401,0.47784194350242615,0.3778693377971649
01/01139000,0.09965506196022034,0.1461113691329956,0.1719876527786255,0.18780356645584106,0.2081669270992279,0.22721163928508759,0.2517169415950775,0.1846650391817093
01/01139800,0.18419577181339264,0.23216448724269867,0.26664841175079346,0.27226316928863525,0.2828056514263153,0.29151925444602966,0.33614978194236755,0.2665403485298157
01/01142500,0.13986201584339142,0.17142781615257263,0.21090315282344818,0.24966390430927277,0.27064648270606995,0.2882363796234131,0.34350940585136414,0.23918434977531433
01/01144000,0.13015465438365936,0.16939914226531982,0.20472025871276855,0.23677799105644226,0.26101481914520264,0.28325599431991577,0.3098989427089691,0.2278956025838852
01/01162500,0.10978492349386215,0.1859995573759079,0.21510644257068634,0.2305992990732193,0.2485468089580536,0.2702502906322479,0.29440200328826904,0.22209255397319794
01/01169000,0.31036484241485596,0.3446921408176422,0.3577222526073456,0.35565799474716187,0.39277538657188416,0.4114847183227539,0.45260143280029297,0.37504225969314575
01/01170100,0.2675861120223999,0.31645330786705017,0.33524882793426514,0.34543341398239136,0.3709215223789215,0.3996579051017761,0.4389554560184479,0.3534643352031708
01/01181000,0.38110625743865967,0.4128021001815796,0.44546693563461304,0.4383653402328491,0.46332499384880066,0.493796169757843,0.5337414741516113,0.45266008377075195
01/01187300,0.30644065141677856,0.3338242173194885,0.3508172035217285,0.3591301739215851,0.37885528802871704,0.4063853919506073,0.4778701364994049,0.3733372092247009
01/01195100,0.2875645160675049,0.2968829870223999,0.30994129180908203,0.3157433569431305,0.30964168906211853,0.3152703046798706,0.34503793716430664,0.3114418387413025
01/04296000,0.08707568794488907,0.15462760627269745,0.1819828301668167,0.20335566997528076,0.2353496551513672,0.26433444023132324,0.30963626503944397,0.20515930652618408
02/01333000,0.2171899378299713,0.2914959788322449,0.3171471953392029,0.32379209995269775,0.34871959686279297,0.3771308362483978,0.41199737787246704,0.3267868161201477
02/01350000,0.33648666739463806,0.34682461619377136,0.3669643700122833,0.37549275159835815,0.3944319188594818,0.4052128493785858,0.5211111903190613,0.39236319065093994
02/01350080,0.25515782833099365,0.2961854636669159,0.35178613662719727,0.37548622488975525,0.3979404866695404,0.3988993763923645,0.49472227692604065,0.3671759068965912
02/01350140,0.30907461047172546,0.36065590381622314,0.37498050928115845,0.377175509929657,0.39988353848457336,0.4222205579280853,0.5008577704429626,0.39211711287498474
02/01365000,0.239236518740654,0.27114126086235046,0.26976263523101807,0.29176366329193115,0.32682904601097107,0.33638978004455566,0.4296169579029083,0.3092559278011322
02/01411300,0.1310809999704361,0.214698925614357,0.2747310698032379,0.2772884666919708,0.2684590518474579,0.22388644516468048,0.20699599385261536,0.22810912132263184
02/01413500,0.2457347959280014,0.25614821910858154,0.27247750759124756,0.301839143037796,0.330392450094223,0.34949392080307007,0.43128228187561035,0.312480628490448
02/01414500,0.26912352442741394,0.28773048520088196,0.3026569187641144,0.3564448356628418,0.40880393981933594,0.42917582392692566,0.47310173511505127,0.36100274324417114
02/01415000,0.27254295349121094,0.2961670160293579,0.30927708745002747,0.3299231231212616,0.37454327940940857,0.4022548198699951,0.44401514530181885,0.34696197509765625
02/01423000,0.17499081790447235,0.22176292538642883,0.23348058760166168,0.2567312717437744,0.28082364797592163,0.30444496870040894,0.3500087261199951,0.2603105306625366
02/01434025,0.39934518933296204,0.42890211939811707,0.42953115701675415,0.46044299006462097,0.5064243674278259,0.5416156649589539,0.6035631895065308,0.48140212893486023
02/01435000,0.2886803150177002,0.29372408986091614,0.30729958415031433,0.3283568322658539,0.38051408529281616,0.4038220942020416,0.5003860592842102,0.35754695534706116
02/01439500,0.12564654648303986,0.15610182285308838,0.16379176080226898,0.17823176085948944,0.19480183720588684,0.2170434296131134,0.24092207849025726,0.1823701113462448
02/01440000,0.22967614233493805,0.24364620447158813,0.23700879514217377,0.2396472841501236,0.25122109055519104,0.2758732736110687,0.3065555989742279,0.2548038959503174
02/01440400,0.1969437450170517,0.21849751472473145,0.2171097695827484,0.23020265996456146,0.24275770783424377,0.26702338457107544,0.31419917941093445,0.24096082150936127
02/01451800,0.25351592898368835,0.2770470678806305,0.2808389961719513,0.2787863314151764,0.3007586598396301,0.3371495008468628,0.3774297535419464,0.3007890284061432
02/01466500,0.14777140319347382,0.20302782952785492,0.23161163926124573,0.24646054208278656,0.2356305867433548,0.2373647540807724,0.24069440364837646,0.22036468982696533
02/01484100,0.44739699363708496,0.43820720911026,0.4294595420360565,0.4596797823905945,0.48161113262176514,0.516254186630249,0.5622736811637878,0.4764140844345093
02/01485500,0.24952244758605957,0.3539387285709381,0.3565092086791992,0.33284610509872437,0.32142192125320435,0.32973259687423706,0.34934547543525696,0.3276163339614868
02/01486000,0.3647158443927765,0.38181978464126587,0.3679996430873871,0.3774956166744232,0.38198983669281006,0.40573641657829285,0.46196234226226807,0.3916737139225006
02/01487000,0.2084193080663681,0.25732389092445374,0.26499632000923157,0.2797599732875824,0.2876162827014923,0.30388960242271423,0.3262690007686615,0.27547216415405273
02/01491000,0.5017582774162292,0.567183792591095,0.5554414391517639,0.5520833134651184,0.5551412105560303,0.5694261789321899,0.5909926295280457,0.5560043454170227
02/01510000,0.19609512388706207,0.2764686048030853,0.2964421510696411,0.3072587549686432,0.31534770131111145,0.3335078954696655,0.3673632740974426,0.2989344298839569
02/01516500,0.37522122263908386,0.3267287015914917,0.31953027844429016,0.3383115231990814,0.3503134250640869,0.36275190114974976,0.46009567379951477,0.36185023188591003
02/01518862,0.30031484365463257,0.31013932824134827,0.3093681335449219,0.3120442032814026,0.3270733654499054,0.373774915933609,0.44308164715766907,0.33940353989601135
02/01532000,0.34048259258270264,0.3124217689037323,0.3218677043914795,0.32796114683151245,0.3321402668952942,0.3404524326324463,0.4163197875022888,0.34166404604911804
02/01539000,0.3213525414466858,0.3323424756526947,0.3363046944141388,0.3443252444267273,0.36786603927612305,0.3778856694698334,0.39582231640815735,0.353699654340744
02/01542810,0.19663745164871216,0.24918115139007568,0.25378698110580444,0.2664722502231598,0.2938156723976135,0.31653302907943726,0.37159374356269836,0.27828654646873474
02/01543000,0.1426326483488083,0.1701996773481369,0.1726788878440857,0.18119485676288605,0.20010194182395935,0.2224457561969757,0.2644854784011841,0.19338814914226532
02/01543500,0.1334659606218338,0.16344775259494781,0.1717633157968521,0.17532247304916382,0.1888362318277359,0.21197940409183502,0.25131380558013916,0.18515826761722565
02/01544500,0.11665074527263641,0.1615435928106308,0.18934416770935059,0.19577819108963013,0.20730376243591309,0.23608756065368652,0.28818368911743164,0.19926536083221436
02/01545600,0.138913094997406,0.19678995013237,0.20801930129528046,0.2197549194097519,0.24165944755077362,0.27059534192085266,0.3211267590522766,0.22811609506607056
02/01547700,0.2891867458820343,0.31046468019485474,0.3131198287010193,0.3356703817844391,0.34476238489151,0.3824165165424347,0.41109591722488403,0.3409566879272461
02/01548500,0.09012403339147568,0.12264980375766754,0.15614724159240723,0.1483481228351593,0.1487303078174591,0.16437576711177826,0.21828976273536682,0.14981165528297424
02/01549500,0.16034629940986633,0.21139366924762726,0.23037956655025482,0.2429858148097992,0.2564624845981598,0.2615652084350586,0.2985801100730896,0.23739029467105865
02/01550000,0.17708846926689148,0.21692560613155365,0.24455559253692627,0.2582351863384247,0.2531208395957947,0.25211024284362793,0.2828432619571686,0.24069614708423615
02/01552000,0.245175302028656,0.2573915719985962,0.2856452465057373,0.28750520944595337,0.28583627939224243,0.2901182174682617,0.31992822885513306,0.28165769577026367
02/01552500,0.23962219059467316,0.23926155269145966,0.2530534565448761,0.27375292778015137,0.2912130653858185,0.3138805329799652,0.4086916744709015,0.2884943187236786
02/01557500,0.19725073873996735,0.2194886952638626,0.2168717086315155,0.23135524988174438,0.2533211410045624,0.2743716835975647,0.3263574540615082,0.2455703765153885
02/01567500,0.48314720392227173,0.5113569498062134,0.516546368598938,0.4898422658443451,0.4843063950538635,0.532966136932373,0.5360569357872009,0.5077455043792725
02/01568000,0.2672838270664215,0.2529910206794739,0.25611674785614014,0.2567844092845917,0.2547443211078644,0.26692551374435425,0.30052945017814636,0.2650534212589264
02/01580000,0.25223299860954285,0.22404327988624573,0.23195786774158478,0.23444874584674835,0.2449413239955902,0.2666669189929962,0.3417207896709442,0.2565706968307495
02/01583500,0.40377193689346313,0.38569173216819763,0.3814045488834381,0.38791435956954956,0.4008374810218811,0.41298413276672363,0.44514381885528564,0.4025349020957947
02/01586610,0.3908138871192932,0.37498739361763,0.37675973773002625,0.3780508041381836,0.39989250898361206,0.41365325450897217,0.46338340640068054,0.39964786171913147
02/01591400,0.46871092915534973,0.4390346109867096,0.4285256862640381,0.43996790051460266,0.44719401001930237,0.47110891342163086,0.5176844596862793,0.4588892161846161
02/01594950,0.2652159631252289,0.2906356751918793,0.2902485132217407,0.31886184215545654,0.3370298147201538,0.35404789447784424,0.3890618681907654,0.3207324147224426
02/01596500,0.18101908266544342,0.25138282775878906,0.27586472034454346,0.292631596326828,0.3156014382839203,0.34372010827064514,0.39755916595458984,0.2939702868461609
02/01605500,0.22577136754989624,0.26285719871520996,0.28733542561531067,0.3069193661212921,0.3316962420940399,0.3286574184894562,0.3579336702823639,0.30017051100730896
02/01606500,0.14379385113716125,0.18625712394714355,0.21450860798358917,0.22711989283561707,0.22857458889484406,0.2511197626590729,0.28681284189224243,0.21974453330039978
02/01613050,0.27391281723976135,0.3220379650592804,0.33592915534973145,0.3484588861465454,0.35816317796707153,0.3770750164985657,0.41457024216651917,0.3471622169017792
02/01620500,0.26676425337791443,0.430971622467041,0.4856138527393341,0.5815054774284363,0.618677020072937,0.6171185374259949,0.6399794816970825,0.520088255405426
02/01632000,0.35453298687934875,0.44505318999290466,0.4857865273952484,0.49460601806640625,0.5048555731773376,0.5189955830574036,0.5439017415046692,0.47824859619140625
02/01632900,0.30846667289733887,0.36613747477531433,0.3793395757675171,0.38985347747802734,0.3692814111709595,0.3728226125240326,0.3930818736553192,0.36842700839042664
02/01634500,0.32540738582611084,0.36921799182891846,0.3867444694042206,0.3916100561618805,0.3900372087955475,0.41589123010635376,0.46527326107025146,0.3920258581638336
02/01638480,0.3820732831954956,0.38458582758903503,0.39341920614242554,0.39936497807502747,0.4024427533149719,0.4432717263698578,0.475820928812027,0.41156789660453796
02/01639500,0.30947497487068176,0.29420992732048035,0.291062593460083,0.28989875316619873,0.3085043132305145,0.33993634581565857,0.37777945399284363,0.3158367872238159
02/01644000,0.3096984922885895,0.31536683440208435,0.32879266142845154,0.33413776755332947,0.32471251487731934,0.34265610575675964,0.3751690983772278,0.3329329490661621
02/01658500,0.5556036829948425,0.5254099369049072,0.5069525241851807,0.5136515498161316,0.5515470504760742,0.567551851272583,0.6075664758682251,0.5468975901603699
02/01664000,0.20132341980934143,0.19606128334999084,0.19035087525844574,0.18701694905757904,0.1904786229133606,0.20832572877407074,0.2448807805776596,0.2026335597038269
02/01666500,0.2937517762184143,0.28056997060775757,0.27915695309638977,0.2876839339733124,0.29864126443862915,0.3258439302444458,0.3603983223438263,0.3037196099758148
02/01667500,0.2431296706199646,0.23302367329597473,0.22022566199302673,0.21897289156913757,0.2306196689605713,0.26725178956985474,0.3001921474933624,0.24477261304855347
