Date,prcp(mm/day),srad(W/m2),tmax(C),tmin(C),vp(Pa),flow(mm/day)
1980-01-01,0.0,360.52,18.88,1.34,601.14,0.0
1980-01-02,0.0,341.77,21.62,5.6,815.53,0.0
1980-01-03,0.0,311.84,20.41,6.8,920.97,0.0
1980-01-04,0.0,374.87,18.5,-0.35,522.35,0.0
1980-01-05,0.0,373.8,20.4,1.51,593.7,0.0
1980-01-06,0.0,364.97,23.58,5.34,763.69,0.0
1980-01-07,0.0,304.82,21.88,8.76,1049.35,0.0
1980-01-08,0.0,222.49,15.55,7.1,1007.88,0.0
1980-01-09,0.0,298.77,16.76,4.6,820.24,0.0
1980-01-10,0.0,269.31,20.55,9.68,1172.25,0.0
1980-01-11,0.0,338.42,24.58,9.17,1018.66,0.0
1980-01-12,0.0,341.93,23.81,8.35,961.54,0.0
1980-01-13,0.0,360.79,20.79,4.28,723.51,0.0
1980-01-14,0.0,390.56,26.07,5.42,726.85,0.0
1980-01-15,0.0,360.27,27.86,10.54,1053.8,0.0
1980-01-16,0.0,289.07,27.19,14.9,1548.2,0.0
1980-01-17,0.0,280.87,25.15,13.62,1454.52,0.0
1980-01-18,0.0,318.45,25.08,11.61,1214.56,0.0
1980-01-19,0.0,255.79,25.9,15.58,1694.09,0.0
1980-01-20,2.55,226.27,27.31,16.35,1797.55,0.0
1980-01-21,9.91,224.77,21.76,9.81,1213.41,0.0
1980-01-22,0.17,173.03,15.11,9.07,1165.53,0.0
1980-01-23,0.0,325.15,14.98,2.53,710.52,0.0
1980-01-24,0.0,351.67,16.25,2.21,679.56,0.0
1980-01-25,0.0,372.28,20.69,4.9,774.06,0.0
1980-01-26,0.0,404.75,25.67,6.18,787.09,0.0
1980-01-27,0.0,357.17,22.01,7.38,923.64,0.0
1980-01-28,0.06,175.81,12.91,7.04,1003.22,0.0
1980-01-29,0.07,192.14,13.63,7.2,1016.21,0.0
1980-01-30,0.0,249.15,13.88,5.39,909.54,0.0
1980-01-31,0.0,312.33,15.02,4.03,795.42,0.0
1980-02-01,0.0,272.1,10.05,1.23,659.23,0.0
1980-02-02,0.42,254.62,11.36,3.0,760.67,0.0
1980-02-03,0.0,320.82,13.64,3.11,748.34,0.0
1980-02-04,0.0,426.03,21.74,3.97,672.43,0.0
1980-02-05,0.0,379.68,22.49,8.59,966.56,0.0
1980-02-06,0.0,318.83,20.26,9.78,1137.79,0.0
1980-02-07,0.0,337.89,23.68,12.06,1264.88,0.0
1980-02-08,0.0,342.79,23.87,12.09,1256.69,0.0
1980-02-09,0.0,436.15,19.36,2.14,595.36,0.0
1980-02-10,0.0,420.92,12.5,-2.56,459.01,0.0
1980-02-11,0.58,369.34,13.48,1.25,627.08,0.0
1980-02-12,10.37,185.26,11.93,4.93,874.8,0.0
1980-02-13,5.66,139.63,11.87,6.94,994.91,0.0
1980-02-14,2.49,288.58,19.13,9.51,1184.18,1.9835490984563494e-05
1980-02-15,0.91,364.27,24.98,13.46,1426.08,0.0
1980-02-16,0.0,464.74,25.43,6.98,800.36,0.0
1980-02-17,0.12,370.53,10.36,-0.1,596.92,0.0
1980-02-18,0.0,453.54,15.35,0.0,543.07,0.0
1980-02-19,0.0,490.33,25.04,3.71,621.26,0.0
1980-02-20,0.0,489.98,32.83,8.88,830.61,0.0
1980-02-21,0.0,452.46,32.27,14.23,1051.78,0.0
1980-02-22,0.0,485.04,31.36,11.05,622.18,0.0
1980-02-23,0.0,447.03,30.09,13.69,795.0,0.0
1980-02-24,0.0,396.38,27.89,14.83,976.9,0.0
1980-02-25,0.0,489.54,25.83,7.43,407.94,0.0
1980-02-26,0.0,456.63,22.31,7.21,376.17,0.0
1980-02-27,0.0,474.23,23.35,6.77,367.23,0.0
1980-02-28,0.0,485.29,26.88,8.87,403.04,0.0
1980-02-29,0.0,482.03,30.19,11.97,518.17,0.0
1980-03-01,0.0,523.78,26.33,3.6,281.3,0.0
1980-03-02,0.0,433.66,10.4,-3.83,227.71,0.0
1980-03-03,0.0,475.91,15.1,-1.89,212.64,0.0
1980-03-04,0.0,512.55,24.87,3.96,281.06,0.0
1980-03-05,0.0,504.87,28.37,8.08,391.69,0.0
1980-03-06,0.0,482.45,25.46,7.43,373.58,0.0
1980-03-07,0.0,433.67,28.1,12.93,562.11,0.0
1980-03-08,0.0,394.12,30.7,17.29,768.27,0.0
1980-03-09,0.0,349.19,27.83,16.46,802.18,0.0
1980-03-10,0.0,447.7,31.31,15.45,652.05,0.0
1980-03-11,0.0,430.59,32.13,17.22,743.3,0.0
1980-03-12,0.0,396.39,31.19,18.0,814.32,0.0
1980-03-13,0.0,412.35,28.43,14.66,626.2,0.0
1980-03-14,0.0,424.42,24.99,10.75,490.5,0.0
1980-03-15,0.0,371.71,26.01,13.98,632.4,0.0
1980-03-16,0.0,356.99,29.44,17.88,801.94,0.0
1980-03-17,0.0,386.69,29.32,16.79,721.83,0.0
1980-03-18,0.0,428.23,22.07,8.15,399.23,0.0
1980-03-19,0.0,413.25,23.61,10.41,473.69,0.0
1980-03-20,0.0,466.87,30.2,14.21,598.43,0.0
1980-03-21,0.0,496.21,29.1,11.75,500.81,0.0
1980-03-22,0.0,480.85,26.12,10.09,454.48,0.0
1980-03-23,0.0,460.82,29.96,14.94,633.85,0.0
1980-03-24,0.0,416.24,28.71,15.93,674.59,0.0
1980-03-25,0.0,486.11,27.36,11.4,488.51,0.0
1980-03-26,1.26,326.11,24.29,14.34,642.11,0.0
1980-03-27,2.56,186.28,22.04,16.17,1267.11,0.0
1980-03-28,0.0,375.25,26.04,15.53,666.97,0.0
1980-03-29,0.0,406.05,27.95,16.49,715.93,0.0
1980-03-30,0.0,557.72,28.99,9.47,437.7,0.0
1980-03-31,0.0,486.97,29.01,14.41,599.55,0.0
1980-04-01,0.0,416.16,28.8,17.28,745.0,0.0
1980-04-02,0.0,402.52,31.84,20.75,942.72,0.0
1980-04-03,0.0,458.83,34.15,21.0,960.13,0.0
1980-04-04,0.0,498.55,30.17,15.81,667.25,0.0
1980-04-05,0.0,495.53,27.94,14.06,590.34,0.0
1980-04-06,0.0,508.56,31.58,16.85,721.18,0.0
1980-04-07,0.0,534.75,35.89,19.08,846.67,0.0
1980-04-08,0.0,517.74,33.5,17.95,794.59,0.0
1980-04-09,0.0,567.4,28.72,10.51,467.4,0.0
1980-04-10,0.0,573.98,29.9,10.97,479.9,0.0
