basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse_all
01/01013500,0.0212019067257642,0.0277774184942245,0.0357480496168136,0.0451208390295505,0.0557537153363227,0.0682153180241584,0.0809559300541877,0.047828584909439
01/01022500,0.0958610847592353,0.1359217464923858,0.1616158336400985,0.1764455884695053,0.1773755550384521,0.1858432739973068,0.1899725645780563,0.1604362875223159
01/01030500,0.0236112959682941,0.0354036949574947,0.0510200820863246,0.069324754178524,0.0868908986449241,0.1031227633357048,0.1182631701231002,0.0696680843830108
01/01031500,0.1179272234439849,0.1501623690128326,0.174299418926239,0.1888405084609985,0.2081085741519928,0.2223769575357437,0.2338828146457672,0.1850876957178115
01/01047000,0.1584265381097793,0.1978166103363037,0.2362797260284423,0.226586028933525,0.2431565374135971,0.233948677778244,0.2505290508270263,0.2209679037332534
01/01052500,0.1972237527370453,0.2454489320516586,0.2615910470485687,0.2564208209514618,0.2687048316001892,0.2865554392337799,0.2884081900119781,0.2577669620513916
01/01054200,0.3354988694190979,0.38096684217453,0.4014927446842193,0.4238846004009247,0.407408744096756,0.4122382700443268,0.4332880973815918,0.3992543220520019
01/01055000,0.2506734132766723,0.2850446403026581,0.2837153077125549,0.2956859469413757,0.3000427186489105,0.3079390227794647,0.3388420641422272,0.2945644557476043
01/01057000,0.1564774215221405,0.1944098025560379,0.2043735831975937,0.2268459200859069,0.2459039837121963,0.2567883133888244,0.2634465396404266,0.2211819738149643
01/01073000,0.3357008695602417,0.3509980738162994,0.3558880090713501,0.3570342361927032,0.3649056553840637,0.3809825479984283,0.3723848760128021,0.3597003817558288
01/01078000,0.1462046504020691,0.1984196901321411,0.2192153036594391,0.2361928820610046,0.2363533824682235,0.2519994974136352,0.2624014914035797,0.2214760482311248
01/01118300,0.3411600887775421,0.3671300411224365,0.369273692369461,0.370408296585083,0.3747748136520386,0.3716014921665191,0.3853307366371155,0.3685280680656433
01/01121000,0.2652181088924408,0.2797312140464782,0.2778270542621612,0.2811324894428253,0.2910279929637909,0.2909183502197265,0.3140629231929779,0.2857047021389007
01/01123000,0.2584633529186249,0.2794259786605835,0.2783191204071045,0.2820686101913452,0.2799716293811798,0.2851510941982269,0.2857489883899688,0.2784502208232879
01/01134500,0.1889417767524719,0.2592532932758331,0.2903364300727844,0.3234560787677765,0.3242761492729187,0.3349616229534149,0.3378254175186157,0.2941455543041229
01/01137500,0.2287207692861557,0.2558655738830566,0.2705390751361847,0.2638259828090668,0.2654261887073517,0.2668370604515075,0.2874453067779541,0.2626692354679107
01/01139000,0.1396461725234985,0.1781361848115921,0.1873956471681594,0.199826180934906,0.2061526179313659,0.2198724746704101,0.2409984171390533,0.1960041224956512
01/01139800,0.1747675538063049,0.2032938301563263,0.2243842035531997,0.2433480620384216,0.2425633519887924,0.2489967793226242,0.2953383028507232,0.233245775103569
01/01142500,0.1769888252019882,0.2242655754089355,0.231963649392128,0.2466631829738617,0.243229478597641,0.249576061964035,0.2845645248889923,0.2367527186870575
01/01144000,0.1704892069101333,0.2102023959159851,0.2255503386259079,0.2530047297477722,0.2493633031845092,0.2547186911106109,0.266182541847229,0.2327907532453537
01/01162500,0.1088532358407974,0.1615451872348785,0.2012422829866409,0.2192692011594772,0.230339303612709,0.2409622073173523,0.2533011138439178,0.2022111713886261
01/01169000,0.351331502199173,0.3655614852905273,0.3774462640285492,0.3783983588218689,0.3809086978435516,0.3984047472476959,0.4585344791412353,0.3872261941432953
01/01170100,0.2965328395366668,0.319477766752243,0.3399697840213775,0.3444313406944275,0.3424204885959625,0.3581558763980865,0.4006710052490234,0.3430936336517334
01/01181000,0.4342637062072754,0.443478524684906,0.4505046010017395,0.4484826028347015,0.4645687937736511,0.4634977877140045,0.4615374803543091,0.4523338377475738
01/01187300,0.336093932390213,0.3564631044864654,0.3702915906906128,0.3695327937602997,0.3722296059131622,0.376695841550827,0.3917581737041473,0.3675823211669922
01/01195100,0.3252640962600708,0.3545763194561004,0.3558436930179596,0.3636777997016907,0.3698594570159912,0.3675056099891662,0.3869323134422302,0.3605243265628814
01/04296000,0.1808169484138488,0.2376338243484497,0.2731550633907318,0.2766312062740326,0.2716101706027984,0.2784216105937958,0.3007197976112366,0.2598355114459991
02/01333000,0.2384308129549026,0.2710490226745605,0.2878701984882355,0.3011358380317688,0.3070603609085083,0.3155964314937591,0.3375612497329712,0.2941031455993652
02/01350000,0.4492092430591583,0.4761265218257904,0.4800560772418976,0.4757517874240875,0.4938883185386657,0.4973599016666412,0.5294311046600342,0.485975831747055
02/01350080,0.4174850881099701,0.428860604763031,0.4525632262229919,0.4633544385433197,0.473995178937912,0.4718590378761291,0.4742056727409363,0.4546196758747101
02/01350140,0.4435585737228393,0.4876622557640075,0.5091069936752319,0.5153188705444336,0.5454049110412598,0.5519124865531921,0.5750333666801453,0.5182822346687317
02/01365000,0.3021686673164367,0.3381116390228271,0.3641915917396545,0.3464571833610534,0.3540149629116058,0.358867347240448,0.4196333885192871,0.3547815084457397
02/01411300,0.1632138192653656,0.195265844464302,0.2181827574968338,0.235489010810852,0.2290802747011184,0.2420027405023574,0.2490782886743545,0.2188715040683746
02/01413500,0.3419032096862793,0.3855357766151428,0.4017831087112427,0.4234894216060638,0.443001389503479,0.4418853223323822,0.4580826461315155,0.4136683344841003
02/01414500,0.3375440835952759,0.3840022087097168,0.4077776074409485,0.4220539331436157,0.4257309138774872,0.413878470659256,0.4740618765354156,0.4092915058135986
02/01415000,0.3694211542606354,0.4246701598167419,0.4771057665348053,0.4664241075515747,0.4724780321121216,0.480168879032135,0.5197139382362366,0.458570122718811
02/01423000,0.2880346477031708,0.3172309398651123,0.34139084815979,0.3605349361896515,0.3775933980941772,0.3832213878631592,0.3931187093257904,0.3515827357769012
02/01434025,0.4570319950580597,0.4876766502857208,0.4883034825325012,0.5027820467948914,0.5112292766571045,0.5066404938697815,0.5620495080947876,0.5022441744804382
02/01435000,0.3227696716785431,0.346505343914032,0.3538329005241394,0.3516401648521423,0.3633399307727813,0.3685035407543182,0.4691380262374878,0.3679645955562591
02/01439500,0.1786444336175918,0.2114147543907165,0.2408324927091598,0.2488816529512405,0.2555077970027923,0.2591858208179474,0.2631340622901916,0.2368054389953613
02/01440000,0.345254510641098,0.3692671954631805,0.3734257817268371,0.3829393684864044,0.381500244140625,0.3796527683734894,0.3794408440589905,0.3730684816837311
02/01440400,0.2948066890239715,0.3304592072963714,0.3433344662189483,0.3428424894809723,0.3542344868183136,0.3527180552482605,0.3728820383548736,0.3416103720664978
02/01451800,0.2252469807863235,0.2516480088233948,0.2734227180480957,0.2872292399406433,0.293061226606369,0.3007965981960296,0.3141964077949524,0.2779428660869598
02/01466500,0.2484053671360016,0.2912962734699249,0.2899115979671478,0.2958573698997497,0.3063562512397766,0.3213133215904236,0.3255027830600738,0.2969478666782379
02/01484100,0.5201144218444824,0.5346575975418091,0.5478919744491577,0.533883273601532,0.5360985398292542,0.5435837507247925,0.5595827102661133,0.5394023060798645
02/01485500,0.1752882897853851,0.2365754246711731,0.250312864780426,0.2525083720684051,0.2566095292568207,0.2643462121486664,0.2738555073738098,0.2442134171724319
02/01486000,0.2984667420387268,0.3357754647731781,0.3369209468364715,0.3410363495349884,0.3353076875209808,0.3494750261306762,0.343750923871994,0.3343901932239532
02/01487000,0.2321900725364685,0.2679965198040008,0.2811636328697204,0.2934470176696777,0.2988352477550506,0.3081469535827636,0.3150070011615753,0.2852585315704345
02/01491000,0.455335259437561,0.5271551012992859,0.5604256987571716,0.5615459084510803,0.562950611114502,0.5590473413467407,0.5752046704292297,0.5430956482887268
02/01510000,0.2607297301292419,0.3141621947288513,0.3314335942268371,0.347245842218399,0.360347032546997,0.3746291399002075,0.4041912853717804,0.3418272733688354
02/01516500,0.4513526260852813,0.4871120154857635,0.502382218837738,0.5008090138435364,0.5131397843360901,0.548547625541687,0.611822783946991,0.5164522528648376
02/01518862,0.3889364302158355,0.4041205942630768,0.421552300453186,0.4092414677143097,0.3995060622692108,0.4150336980819702,0.4533095955848694,0.4131013453006744
02/01532000,0.4220138788223266,0.4501928091049194,0.4851085841655731,0.5097439885139465,0.4569000005722046,0.4564747512340545,0.4794574975967407,0.4656990170478821
02/01539000,0.4676722288131714,0.4901549220085144,0.505140483379364,0.504609227180481,0.5160908699035645,0.5179376602172852,0.5341850519180298,0.5051130652427673
02/01542810,0.2565405368804931,0.3132413625717163,0.3312002122402191,0.3361668884754181,0.3344604074954986,0.352908045053482,0.3831914067268371,0.3296714127063751
02/01543000,0.2323795408010482,0.2623579502105713,0.2986380755901336,0.2916788756847381,0.3091267347335815,0.3171957731246948,0.3497948050498962,0.2944501340389251
02/01543500,0.1825232058763504,0.219092845916748,0.2346699088811874,0.240401417016983,0.2482053190469741,0.2681086957454681,0.2738035917282104,0.2381125539541244
02/01544500,0.1826021820306778,0.2433413118124008,0.2870894968509674,0.3074119389057159,0.3340692222118377,0.337411880493164,0.3069553971290588,0.2855501472949981
