basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse_all
03/02363000,0.18514573574066162,0.2196757048368454,0.23114056885242462,0.22848618030548096,0.22740866243839264,0.23365747928619385,0.23441068828105927,0.2228478491306305
03/02369800,0.26318851113319397,0.32732582092285156,0.35128578543663025,0.3533119261264801,0.35648709535598755,0.36757969856262207,0.36466842889785767,0.34055081009864807
03/02371500,0.14514605700969696,0.20081371068954468,0.21485665440559387,0.21896302700042725,0.22101902961730957,0.22372429072856903,0.2318384349346161,0.2080504596233368
03/02372250,0.22493071854114532,0.2636618912220001,0.2741389572620392,0.2853287160396576,0.29117587208747864,0.29596638679504395,0.3003608286380768,0.2765084505081177
03/02374500,0.2544393539428711,0.2952481806278229,0.30240675806999207,0.30978748202323914,0.30294233560562134,0.30557265877723694,0.31439080834388733,0.29782700538635254
03/02381600,0.5499626994132996,0.5467191934585571,0.5502263307571411,0.5510832071304321,0.5669136643409729,0.5767576694488525,0.5744203329086304,0.559440553188324
03/02384540,0.3606967628002167,0.3689054846763611,0.4227747619152069,0.3765901029109955,0.3901885449886322,0.3868752121925354,0.4173799157142639,0.3890584409236908
03/02395120,0.35724660754203796,0.3592647612094879,0.3542805314064026,0.377334326505661,0.3716402053833008,0.37278279662132263,0.40829458832740784,0.37154945731163025
03/02408540,0.1852610558271408,0.1956416666507721,0.2276473194360733,0.23104818165302277,0.24176882207393646,0.24668189883232117,0.2493167668581009,0.22533778846263885
03/02415000,0.273324579000473,0.27544450759887695,0.28406399488449097,0.2809322476387024,0.27118051052093506,0.2665669023990631,0.27637526392936707,0.27541232109069824
03/02422500,0.18702645599842072,0.19493722915649414,0.20146571099758148,0.19558991491794586,0.20572718977928162,0.21491511166095734,0.2241872251033783,0.20340755581855774
03/02427250,0.20446592569351196,0.2645453214645386,0.24633514881134033,0.2309068888425827,0.22907455265522003,0.23489011824131012,0.2458440512418747,0.23658032715320587
03/02430085,0.34047290682792664,0.3470213711261749,0.34888070821762085,0.33664053678512573,0.3545275032520294,0.36247503757476807,0.41918352246284485,0.35824427008628845
03/02430615,0.3711555600166321,0.3671945333480835,0.4129727780818939,0.4160427749156952,0.38649705052375793,0.44870656728744507,0.5103132724761963,0.41612720489501953
03/02450250,0.23629887402057648,0.26849600672721863,0.2836157977581024,0.27002671360969543,0.25643399357795715,0.2648811340332031,0.2685624063014984,0.2640288472175598
03/02464000,0.21841219067573547,0.24724631011486053,0.249562606215477,0.26821643114089966,0.2695732116699219,0.26682204008102417,0.2646571695804596,0.2549317181110382
03/02464146,0.44819310307502747,0.43607789278030396,0.4346718192100525,0.4434436857700348,0.4436124861240387,0.43685635924339294,0.48910632729530334,0.4474676549434662
03/02464360,0.36849096417427063,0.39458897709846497,0.40736082196235657,0.40919771790504456,0.41020452976226807,0.4149406850337982,0.4019779860973358,0.40098246932029724
03/02465493,0.483597069978714,0.5362808704376221,0.5209745168685913,0.5422895550727844,0.5468344688415527,0.5377412438392639,0.5607480406761169,0.5327101945877075
03/02469800,0.3002113103866577,0.32708120346069336,0.33841878175735474,0.3358326852321625,0.3311658799648285,0.3222695291042328,0.33319517970085144,0.3268822431564331
03/02472000,0.11068236827850342,0.14577925205230713,0.1669144332408905,0.1936892420053482,0.18129862844944,0.17201966047286987,0.1826990842819214,0.16475898027420044
03/02472500,0.2902877926826477,0.30949580669403076,0.32567059993743896,0.3205278515815735,0.32012057304382324,0.3189322054386139,0.326429158449173,0.3159236013889313
03/02479155,0.34349822998046875,0.38547539710998535,0.3641170263290405,0.3762935400009155,0.37106478214263916,0.37482190132141113,0.37530478835105896,0.3700825273990631
03/02479300,0.13421882688999176,0.19691303372383118,0.2250395119190216,0.22578762471675873,0.23986315727233887,0.23027734458446503,0.23455952107906342,0.21238207817077637
03/02479560,0.11772961169481277,0.17894180119037628,0.20099115371704102,0.20883169770240784,0.2034279704093933,0.21782435476779938,0.22021667659282684,0.19256864488124847
03/02481000,0.29319489002227783,0.3846767246723175,0.3947543203830719,0.4262208640575409,0.3894616961479187,0.38399577140808105,0.40000686049461365,0.3817596435546875
03/02481510,0.3514046370983124,0.3833630084991455,0.40747520327568054,0.4022557735443115,0.3761428892612457,0.37564465403556824,0.3804481029510498,0.3823898732662201
04/04015330,0.4763689339160919,0.5174514651298523,0.548942506313324,0.5715850591659546,0.5878957509994507,0.5906779170036316,0.587788999080658,0.5543872714042664
04/04024430,0.30758553743362427,0.34457695484161377,0.35742107033729553,0.3987634479999542,0.39393070340156555,0.38324689865112305,0.3948245644569397,0.3686223030090332
04/04027000,0.18991324305534363,0.23872017860412598,0.267771452665329,0.27309587597846985,0.2719057500362396,0.2698630094528198,0.28200483322143555,0.25618085265159607
04/04040500,0.13430774211883545,0.1527106910943985,0.17438790202140808,0.1911168247461319,0.2105926275253296,0.22843794524669647,0.24159745872020721,0.1904478520154953
04/04043050,0.17231060564517975,0.20798388123512268,0.23203404247760773,0.24450689554214478,0.2626287639141083,0.2518288791179657,0.26301321387290955,0.23347079753875732
04/04045500,0.012148192152380943,0.015351061709225178,0.019765593111515045,0.027310263365507126,0.03551231697201729,0.04451923444867134,0.05581977218389511,0.030064966529607773
04/04056500,0.018318336457014084,0.02768073044717312,0.04100136086344719,0.05662838742136955,0.07386860996484756,0.09365370124578476,0.11067242920398712,0.06026340276002884
04/04057510,0.04239831492304802,0.07776430994272232,0.11079845577478409,0.13024136424064636,0.15408118069171906,0.17824701964855194,0.20486485958099365,0.12834270298480988
04/04057800,0.17269699275493622,0.20299682021141052,0.2261333167552948,0.24238519370555878,0.2552123963832855,0.2656203806400299,0.27562516927719116,0.2343812733888626
04/04059500,0.07027208060026169,0.10022041201591492,0.13045422732830048,0.1436133086681366,0.1516578495502472,0.17343901097774506,0.18508563935756683,0.13639259338378906
04/04063700,0.06280012428760529,0.0840698629617691,0.10574375838041306,0.12110521644353867,0.13598722219467163,0.14812836050987244,0.1611870974302292,0.11700667440891266
04/04074950,0.03364204242825508,0.05745941400527954,0.07730494439601898,0.09703106433153152,0.11526352167129517,0.13283880054950714,0.1467939019203186,0.09434740990400314
04/04105700,0.11984016746282578,0.17259880900382996,0.20259436964988708,0.21708637475967407,0.22807741165161133,0.23776188492774963,0.24886451661586761,0.20383961498737335
04/04115265,0.21923144161701202,0.26546043157577515,0.29089152812957764,0.3016248345375061,0.2984004020690918,0.2817244827747345,0.28392651677131653,0.27731823921203613
04/04122200,0.12244991958141327,0.14516568183898926,0.1567886471748352,0.16966606676578522,0.1732098013162613,0.18121449649333954,0.2032003551721573,0.16453102231025696
04/04122500,0.08005185425281525,0.09941577166318893,0.11908316612243652,0.13435247540473938,0.15043732523918152,0.16635143756866455,0.18515126407146454,0.133552685379982
04/04124000,0.06040824204683304,0.10131307691335678,0.1216474324464798,0.13610361516475677,0.14434123039245605,0.15375183522701263,0.156061589717865,0.1248122900724411
04/04127918,0.13073809444904327,0.18414366245269775,0.21616023778915405,0.23560002446174622,0.23082982003688812,0.24140740931034088,0.2840223014354706,0.21755339205265045
04/04127997,0.12541985511779785,0.15362505614757538,0.16608653962612152,0.17351701855659485,0.19249789416790009,0.20058806240558624,0.21160097420215607,0.17476071417331696
04/04161580,0.10760138928890228,0.16899560391902924,0.2240533083677292,0.2587609887123108,0.2902841866016388,0.3217867910861969,0.3384522497653961,0.24426895380020142
04/04185000,0.08233422040939331,0.14004991948604584,0.18834860622882843,0.22692038118839264,0.24579596519470215,0.24803104996681213,0.24724043905735016,0.1969633549451828
04/04196800,0.22276216745376587,0.30557456612586975,0.34231576323509216,0.3475785255432129,0.3462466597557068,0.35157036781311035,0.3481481671333313,0.32345402240753174
04/04197100,0.2609419822692871,0.34233853220939636,0.3873347342014313,0.40944355726242065,0.4036484658718109,0.4057554006576538,0.40807682275772095,0.37393462657928467
04/04197170,0.5718097686767578,0.6065301895141602,0.6237870454788208,0.615071713924408,0.6031341552734375,0.6130142211914062,0.6181779503822327,0.6073574423789978
04/04213000,0.2698925733566284,0.33923789858818054,0.37099090218544006,0.3677867352962494,0.3655409514904022,0.36312225461006165,0.38330692052841187,0.3514116108417511
04/04213075,0.5706681609153748,0.5926978588104248,0.5930379033088684,0.603622317314148,0.5997029542922974,0.6248626708984375,0.6465892195701599,0.6044512391090393
04/04216418,0.2794487476348877,0.3083014190196991,0.31645506620407104,0.3272209167480469,0.3239257335662842,0.3397897779941559,0.32778602838516235,0.31756237149238586
04/04221000,0.17655248939990997,0.21740856766700745,0.23926407098770142,0.2661703824996948,0.2721171975135803,0.28562045097351074,0.29876255989074707,0.2508432865142822
04/04224775,0.3176097273826599,0.3702780604362488,0.385622501373291,0.39301201701164246,0.4176003336906433,0.41829246282577515,0.4415571689605713,0.3919980823993683
04/04233000,0.4260924458503723,0.47613903880119324,0.4761725664138794,0.47721296548843384,0.46268388628959656,0.47020208835601807,0.5148658752441406,0.47190991044044495
04/04256000,0.1352965384721756,0.20004723966121674,0.22877180576324463,0.2397291660308838,0.2578589916229248,0.2731875777244568,0.28146395087242126,0.2309117615222931
05/03010655,0.2215280681848526,0.2676798403263092,0.29052969813346863,0.31241512298583984,0.3103853762149811,0.30935609340667725,0.3191705644130707,0.29015350341796875
05/03011800,0.2643129825592041,0.30591413378715515,0.3356119394302368,0.37703555822372437,0.35647445917129517,0.3700486123561859,0.3864963948726654,0.34227097034454346
05/03015500,0.17136584222316742,0.21689598262310028,0.24722358584403992,0.28180909156799316,0.2792224586009979,0.272017240524292,0.2659555971622467,0.24778126180171967
05/03021350,0.28188565373420715,0.36254313588142395,0.37485194206237793,0.3718961477279663,0.39605528116226196,0.3991559147834778,0.3998437523841858,0.36946189403533936
05/03026500,0.2455669641494751,0.2826213836669922,0.33853819966316223,0.35185059905052185,0.36879026889801025,0.3420502245426178,0.3985850512981415,0.3325670063495636
05/03028000,0.24299202859401703,0.2757863402366638,0.2979476749897003,0.29864636063575745,0.3059667646884918,0.3225208818912506,0.34276166558265686,0.2980926036834717
05/03049000,0.3488379418849945,0.3881484270095825,0.3979443907737732,0.42503803968429565,0.4298098385334015,0.45427414774894714,0.5006158351898193,0.42066413164138794
05/03049800,0.6570109128952026,0.6928980350494385,0.707065224647522,0.7051912546157837,0.724578857421875,0.7370694875717163,0.7677132487297058,0.7130757570266724
05/03050000,0.17447352409362793,0.2092304825782776,0.20940469205379486,0.22261744737625122,0.21285109221935272,0.2161080241203308,0.23006203770637512,0.21067936718463898
05/03066000,0.17089533805847168,0.23278005421161652,0.25051188468933105,0.24337643384933472,0.2523788809776306,0.2608358860015869,0.24572907388210297,0.23664362728595734
05/03069500,0.14038558304309845,0.18413028120994568,0.19477270543575287,0.21241219341754913,0.21528275310993195,0.2115093320608139,0.20357397198677063,0.19458089768886566
05/03070500,0.17355278134346008,0.2093789428472519,0.21458527445793152,0.22119131684303284,0.23356997966766357,0.22681798040866852,0.23872895538806915,0.216781347990036
05/03076600,0.22960248589515686,0.2908685803413391,0.31702128052711487,0.34771984815597534,0.3572688102722168,0.35103639960289,0.395508348941803,0.32700154185295105
