basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse
01/01022500,0.06928769499063492,0.14046907424926758,0.16424579918384552,0.1709844470024109,0.1755840927362442,0.1776796579360962,0.18456047773361206,0.15468434989452362
01/01031500,0.06672627478837967,0.11070603877305984,0.1262967437505722,0.13642320036888123,0.14688676595687866,0.14688409864902496,0.15058059990406036,0.1263565570116043
01/01047000,0.09722666442394257,0.1392761468887329,0.1464863419532776,0.16016273200511932,0.1638842672109604,0.1573588103055954,0.15641812980175018,0.1458296924829483
01/01052500,0.11655737459659576,0.15699346363544464,0.17191818356513977,0.19726629555225372,0.21214905381202698,0.22563540935516357,0.23969273269176483,0.1886020302772522
01/01055000,0.22856786847114563,0.2586136758327484,0.2774171829223633,0.28684037923812866,0.28284940123558044,0.27876946330070496,0.3107372224330902,0.27480077743530273
01/01057000,0.07761183381080627,0.11486785858869553,0.1357954442501068,0.1562403291463852,0.15898661315441132,0.1594700962305069,0.16724161803722382,0.1385982483625412
01/01073000,0.10133237391710281,0.13625584542751312,0.15350160002708435,0.16496999561786652,0.17583146691322327,0.18044808506965637,0.15742337703704834,0.15282250940799713
01/01078000,0.08078567683696747,0.1266399770975113,0.14826078712940216,0.15720631182193756,0.16661542654037476,0.1671522706747055,0.16833840310573578,0.14498858153820038
01/01123000,0.1752033233642578,0.20365212857723236,0.20841197669506073,0.21785764396190643,0.2353852093219757,0.23073507845401764,0.20960582792758942,0.21146562695503235
01/01137500,0.24473212659358978,0.29285433888435364,0.2913966774940491,0.3011395037174225,0.30754733085632324,0.2980944812297821,0.3272414207458496,0.29470017552375793
01/01139800,0.1780577003955841,0.20879022777080536,0.21990925073623657,0.23210471868515015,0.24269597232341766,0.25779151916503906,0.278475284576416,0.2310868352651596
01/01142500,0.15167248249053955,0.1877068132162094,0.2073379009962082,0.21834753453731537,0.2266109138727188,0.2614859342575073,0.27647390961647034,0.2184634953737259
01/01144000,0.08700912445783615,0.13851343095302582,0.1631135493516922,0.17940977215766907,0.18662843108177185,0.19403937458992004,0.20806075632572174,0.16521117091178894
01/01169000,0.15045611560344696,0.20992718636989594,0.23977982997894287,0.252794086933136,0.24916554987430573,0.25218573212623596,0.28994038701057434,0.23467949032783508
