,,0
median,nse_1day(s),0.7923242300748825
median,nse_2day(s),0.7559635043144226
median,nse_3day(s),0.742112010717392
median,nse_4day(s),0.7373968064785004
median,nse_5day(s),0.732946902513504
median,nse_6day(s),0.7284980714321136
median,nse_7day(s),0.7087280750274658
median,nse,0.7445891797542572
mean,nse_1day(s),0.759025128901534
mean,nse_2day(s),0.7247054918608743
mean,nse_3day(s),0.7115207565427493
mean,nse_4day(s),0.7023476565702583
mean,nse_5day(s),0.6955517397847618
mean,nse_6day(s),0.6905758813340258
mean,nse_7day(s),0.6759834350638875
mean,nse,0.7085444197700395
